District,Market,Commodity,Min Price,Max Price
Ahmednagar,Ahmednagar,Brinjal,5.0,20.0
Ahmednagar,Ahmednagar,Cabbage,2.0,12.0
Ahmednagar,Ahmednagar,Cauliflower,2.0,15.0
Ahmednagar,Ahmednagar,Cucumbar,4.0,15.0
Ahmednagar,Ahmednagar,Guar,40.0,100.0
Ahmednagar,Ahmednagar,Onion,3.0,17.0
Ahmednagar,Ahmednagar,Ridgeguard,20.0,40.0
Ahmednagar,Ahmednagar,Tomato,2.0,12.0
Ahmednagar,Jamkhed,Arhar,68.0,70.0
Ahmednagar,Ahmednagar,Bengal Gram,50.0,52.0
Ahmednagar,Ahmednagar,Groundnut,40.0,44.0
Ahmednagar,Ahmednagar,Jowar,27.0,34.0
Ahmednagar,Ahmednagar,nan,35.0,45.0
Ahmednagar,Ahmednagar,Maize,19.0,21.0
Ahmednagar,Ahmednagar,Soyabean,37.0,39.0
Ahmednagar,Ahmednagar,Wheat,26.0,29.0
Ahmednagar,Karjat,Arhar,68.0,71.0
Ahmednagar,Ahmednagar,Bengal Gram,48.0,51.0
Ahmednagar,Ahmednagar,Jowar,20.0,30.0
Ahmednagar,Ahmednagar,Maize,20.0,22.2
Ahmednagar,Ahmednagar,nan,23.0,23.0
Ahmednagar,Ahmednagar,Onion,7.0,16.0
Ahmednagar,Ahmednagar,Tamarind Fruit,25.0,30.0
Ahmednagar,Ahmednagar,Wheat,23.0,29.0
Ahmednagar,Kopargaon,Arhar,55.01,62.51
Ahmednagar,Ahmednagar,Bengal Gram,49.01,53.27
Ahmednagar,Ahmednagar,Jowar,20.0,20.0
Ahmednagar,Ahmednagar,Onion,10.0,16.51
Ahmednagar,Ahmednagar,Soyabean,37.01,40.8
Ahmednagar,Ahmednagar,Wheat,23.0,26.29
Ahmednagar,Newasa(Ghodegaon),Onion,5.0,16.0
Ahmednagar,Pathardi,Bajra,26.5,29.5
Ahmednagar,Ahmednagar,Cotton,68.5,71.0
Ahmednagar,Ahmednagar,Jowar,25.0,29.0
Ahmednagar,Ahmednagar,Wheat,24.0,31.0
Ahmednagar,Rahata,Beans,30.0,30.0
Ahmednagar,Ahmednagar,Beetroot,5.0,10.0
Ahmednagar,Ahmednagar,Bengal Gram,50.0,52.35
Ahmednagar,Ahmednagar,Bhindi,30.0,40.0
Ahmednagar,Ahmednagar,Bitter gourd,30.0,30.0
Ahmednagar,Ahmednagar,Bottle gourd,10.0,10.0
Ahmednagar,Ahmednagar,Brinjal,5.0,15.0
Ahmednagar,Ahmednagar,Cabbage,4.0,4.0
Ahmednagar,Ahmednagar,Carrot,20.0,20.0
Ahmednagar,Ahmednagar,Cauliflower,4.0,10.0
Ahmednagar,Ahmednagar,Chilly Capsicum,10.0,20.0
Ahmednagar,Ahmednagar,Coriander,0.02,0.05
Ahmednagar,Ahmednagar,Cucumbar,5.0,10.0
Ahmednagar,Ahmednagar,Drumstick,5.0,10.0
Ahmednagar,Ahmednagar,Garlic,40.0,60.0
Ahmednagar,Ahmednagar,Ginger,30.0,40.0
Ahmednagar,Ahmednagar,Grapes,35.0,35.0
Ahmednagar,Ahmednagar,Green Chilli,25.0,45.0
Ahmednagar,Ahmednagar,Green Peas,30.0,45.0
Ahmednagar,Ahmednagar,Guar,100.0,100.0
Ahmednagar,Ahmednagar,Jowar,25.86,25.86
Ahmednagar,Ahmednagar,Karbuja,10.0,15.0
Ahmednagar,Ahmednagar,Lime,50.0,100.0
Ahmednagar,Ahmednagar,Little gourd,25.0,25.0
Ahmednagar,Ahmednagar,Methi,0.1,0.1
Ahmednagar,Ahmednagar,Onion Green,0.08,0.12
Ahmednagar,Ahmednagar,Papaya,5.0,7.0
Ahmednagar,Ahmednagar,Potato,5.0,15.0
Ahmednagar,Ahmednagar,Ridgeguard,40.0,40.0
Ahmednagar,Ahmednagar,Soyabean,40.2,40.2
Ahmednagar,Ahmednagar,Spinach,0.06,0.06
Ahmednagar,Ahmednagar,Tomato,5.0,6.0
Ahmednagar,Ahmednagar,Wheat,24.0,25.66
Ahmednagar,Rahuri,Potato,6.0,18.0
Ahmednagar,Rahuri(Vambori),Arhar,60.0,70.0
Ahmednagar,Ahmednagar,Bengal Gram,48.0,48.0
Ahmednagar,Ahmednagar,Onion,2.0,17.0
Ahmednagar,Ahmednagar,Wheat,25.25,26.0
Ahmednagar,Sangamner,Onion,4.0,14.75
Ahmednagar,Shevgaon,Arhar,69.0,70.0
Ahmednagar,Ahmednagar,Bajra,26.5,30.0
Ahmednagar,Ahmednagar,Bengal Gram,49.0,50.0
Ahmednagar,Ahmednagar,Soyabean,38.51,39.0
Ahmednagar,Ahmednagar,Wheat,24.5,25.5
Ahmednagar,Shevgaon(Bodhegaon),Bajra,24.0,25.0
Ahmednagar,Ahmednagar,Jowar,18.0,18.0
Ahmednagar,Ahmednagar,Wheat,26.0,27.0
Ahmednagar,Shree Sairaj Krushi Market,Onion,6.0,16.5
Ahmednagar,Shrirampur,Bhindi,25.0,35.0
Ahmednagar,Ahmednagar,Bitter gourd,25.0,30.0
Ahmednagar,Ahmednagar,Bottle gourd,5.0,9.0
Ahmednagar,Ahmednagar,Brinjal,6.0,9.0
Ahmednagar,Ahmednagar,Cabbage,1.0,3.0
Ahmednagar,Ahmednagar,Carrot,8.0,12.0
Ahmednagar,Ahmednagar,Cauliflower,2.0,4.0
Ahmednagar,Ahmednagar,Chikoos,15.0,25.0
Ahmednagar,Ahmednagar,Chilly Capsicum,20.0,30.0
Ahmednagar,Ahmednagar,Coriander,0.02,0.04
Ahmednagar,Ahmednagar,Cucumbar,8.0,12.0
Ahmednagar,Ahmednagar,Drumstick,8.0,10.0
Ahmednagar,Ahmednagar,Ginger,10.0,22.0
Ahmednagar,Ahmednagar,Karbuja,10.0,15.0
Ahmednagar,Ahmednagar,Lime,80.0,130.0
Ahmednagar,Ahmednagar,Methi,0.05,0.07
Ahmednagar,Ahmednagar,Onion Green,0.04,0.06
Ahmednagar,Ahmednagar,Peas Wet,30.0,40.0
Ahmednagar,Ahmednagar,Potato,10.0,18.0
Ahmednagar,Ahmednagar,Raddish,0.03,0.05
Ahmednagar,Ahmednagar,Ridgeguard,15.0,25.0
Ahmednagar,Ahmednagar,Spinach,0.03,0.05
Ahmednagar,Ahmednagar,Tamarind Fruit,20.0,52.0
Ahmednagar,Ahmednagar,Tomato,5.0,8.0
Ahmednagar,Ahmednagar,Water Melon,8.0,12.0
Akola,Akola,Arhar,55.0,75.35
Akola,Akola,nan,75.5,76.95
Akola,Akola,Bengal Gram,55.5,55.6
Akola,Akola,nan,47.3,54.3
Akola,Akola,nan,54.45,55.4
Akola,Akola,Garlic,40.0,75.0
Akola,Akola,Ginger,30.0,34.0
Akola,Akola,Jowar,19.6,20.05
Akola,Akola,Onion,6.0,16.0
Akola,Akola,Potato,10.0,16.0
Akola,Akola,Soyabean,34.0,41.55
Akola,Akola,Wheat,18.0,22.0
Akola,Akola,nan,22.85,29.0
Akola,Murtizapur,Arhar,68.5,73.35
Akola,Akola,Soyabean,34.5,40.4
Akola,Akola,Wheat,25.1,29.3
Amarawati,Achalpur,Arhar,68.0,73.0
Amarawati,Amarawati,Wheat,25.0,27.0
Amarawati,Amarawati,Arhar,71.0,73.0
Amarawati,Amarawati,Bengal Gram,54.4,56.25
Amarawati,Amarawati,Black Gram,61.0,63.0
Amarawati,Amarawati,Cotton,72.5,75.75
Amarawati,Amarawati,Green Gram,70.0,73.0
Amarawati,Amarawati,Jowar,18.0,21.0
Amarawati,Amarawati,Maize,22.25,23.0
Amarawati,Amarawati,Sesamum,100.0,110.0
Amarawati,Amarawati,Soyabean,38.5,40.35
Amarawati,Amarawati,Wheat,28.0,30.0
Amarawati,Amrawati(Frui & Veg. Market),Apple,100.0,140.0
Amarawati,Amarawati,Beetroot,10.0,12.0
Amarawati,Amarawati,Bhindi,22.0,28.0
Amarawati,Amarawati,Bitter gourd,30.0,34.0
