"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NEVASA","0","3","1255","894","240","124","697","379","182","642","422","194","11","1247","1","1257","0"
"NAGAR","1","87","1871","1065","743","151","726","1056","177","1093","479","387","57","1901","0","1933","26"
"SHEVGAON","0","1","1111","858","190","64","563","363","186","641","318","153","1","1111","2","1110","0"
"PARNER","1","333","2474","2226","405","174","423","1359","1028","663","600","1542","87","2714","6","2456","332"
"SANGAMNER","1","1","1726","856","715","158","917","415","400","690","674","360","10","1709","1","1710","6"
"RAHATA","1","0","1131","777","301","54","736","308","88","790","230","112","1","1131","1","1101","30"
"PATHARDI","0","93","1581","1272","362","41","525","893","257","593","649","432","0","1674","2","1480","192"
"KOPARGAON","0","0","1334","832","444","58","740","360","234","565","479","289","8","1324","1","1330","0"
"RAHURI","1","50","1186","1039","178","20","400","689","148","793","266","178","2","1235","2","1214","20"
"KARJAT","0","70","1060","967","126","37","304","694","132","557","343","230","0","1130","0","1103","27"
"AKOLE","0","0","1164","859","263","42","610","389","165","571","239","354","0","1164","1","1163","0"
"SHRIRAMPUR","0","5","926","909","19","3","391","402","138","661","163","107","0","929","0","910","19"
"JAMKHED","1","32","1025","941","96","21","286","560","212","566","249","243","2","1056","2","981","74"
"SHRIGONDA","0","17","957","938","30","6","318","484","172","670","162","142","0","974","2","945","27"
