"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"TIWSA","0","0","722","38","147","537","540","6","176","214","87","421","171","551","171","497","54"
"DARYAPUR","0","0","675","23","100","552","387","3","285","333","82","260","285","390","285","352","38"
"DHARNI","0","0","1079","115","416","548","891","174","14","107","117","855","3","1075","9","1070","0"
"BHATKULI","10","27","660","13","47","638","634","15","49","95","101","501","47","649","47","641","9"
"CHIKHALDARA","0","5","744","127","345","277","484","237","28","31","125","593","1","747","30","712","6"
"MORSHI","0","1","704","81","267","357","679","17","9","36","129","540","0","705","0","703","2"
"NANDGAON KH","0","0","709","45","265","399","690","15","4","42","143","524","0","709","3","706","0"
"WARUD","0","0","683","156","263","264","657","19","7","51","164","467","0","682","0","680","2"
"AMRAVATI","0","16","828","115","211","518","813","16","15","54","143","647","17","826","15","796","33"
"CHANDUR RIL","0","28","610","57","190","391","488","43","107","136","86","416","105","533","106","527","5"
"ACHALPUR","0","0","629","70","137","424","440","38","153","153","83","395","128","503","128","503","0"
"ANJANGAON S","0","1","563","36","111","417","470","1","93","123","90","351","207","357","207","332","25"
"CHANDUR BZ","0","9","689","52","192","454","474","22","202","249","107","341","201","497","201","487","10"
"DHAMANGAON RIL","0","0","657","53","143","462","484","22","152","211","135","312","149","508","149","491","18"
