"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"WADWANI","2","602","262","295","530","42","225","555","87","367","351","147","1","864","0","594","270"
"PARALI V .","58","446","9","130","362","21","132","347","33","176","228","108","0","512","0","406","106"
"MAJALGAON","2","323","469","16","678","100","277","474","43","186","339","269","0","794","2","768","24"
"SHIRUR ( KA )","88","515","482","176","894","15","376","686","23","189","619","274","0","1083","3","1011","69"
"BEED","1","430","677","232","874","2","484","613","11","223","574","308","0","1107","1","971","136"
"PATODA ","5","102","68","99","65","11","37","116","22","72","86","17","0","175","1","162","12"
"ASHTI","0","55","1168","15","974","234","1070","110","43","8","436","779","0","1223","0","1175","48"
"KAIJ","0","3","1271","4","910","360","1223","43","8","4","511","759","0","1274","1","1273","0"
"DHARUR","9","238","93","29","277","34","129","191","20","98","138","104","0","340","0","295","45"
"AMBAJOGAI","0","46","124","44","116","10","28","109","33","79","67","24","1","169","0","152","18"
