"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"BULDANA","0","38","1723","90","940","731","1721","40","1","216","329","1214","0","1754","0","1741","10"
"JALGAONJAMOD","0","9","930","47","528","364","901","37","1","113","230","596","0","939","0","917","22"
"KHAMGAON","1","18","1317","48","711","577","1215","112","8","178","179","979","0","1336","0","1335","1"
"CHIKHLI","0","92","2316","89","1147","1174","2362","48","0","228","311","1869","0","2406","1","2391","14"
"MOTALA","0","11","1286","72","659","566","1244","51","2","298","156","843","0","1297","1","1292","4"
"MALKAPUR","1","69","1065","31","659","445","1071","63","1","190","173","772","0","1135","0","1122","13"
"MEHKAR","1","35","564","27","355","218","580","20","0","83","172","345","0","600","0","605","2"
"LONAR","1","8","1411","25","766","629","1333","82","5","127","163","1130","0","1420","0","1420","1"
"SHEGAON","0","17","1263","15","587","678","1182","92","6","171","210","899","0","1280","2","1269","9"
"NANDURA","0","0","1131","36","679","418","1090","42","1","135","221","777","0","1133","0","1127","6"
"SANGRAMPUR","0","7","915","43","517","363","827","94","2","70","214","639","0","923","0","920","3"
"D. RAJA","0","42","1296","62","695","581","1286","51","1","108","349","881","0","1338","0","1322","16"
"SINDKHEDRAJA","0","0","1324","91","663","570","1287","37","0","177","327","820","0","1324","0","1324","0"
