"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"JIWATI","0","2","1501","283","1128","93","1009","490","6","15","69","1418","2","1498","4","1442","44"
"CHANDRAPUR","1","14","1005","38","690","292","655","362","3","5","53","962","4","1016","11","988","20"
"BALLARPUR","1","1","366","86","276","6","244","123","1","0","0","367","0","367","4","362","0"
"NAGBHID","0","112","1365","33","951","493","21","1453","3","29","694","753","0","1477","0","1475","0"
"POMBHURNA","0","278","425","1","702","0","0","688","15","58","253","392","0","702","0","699","0"
"MUL","1","1","687","80","496","113","412","276","1","15","85","589","1","688","21","666","1"
"CHIMUR","2","141","2024","266","1556","345","140","2026","1","378","1442","347","1","2165","0","2166","0"
"SINDEWAHI","2","615","857","1","1427","46","1","1439","34","36","521","917","0","1471","2","1470","1"
"WARORA","1","133","2462","484","2053","59","101","2492","3","447","1892","256","0","2595","0","2595","0"
"BHADRAWATI","0","105","1256","242","1066","53","148","1213","0","325","955","81","0","1361","0","1361","0"
"BRAHMAPURI","0","233","856","3","973","113","0","1083","6","51","385","653","0","1089","1","1088","0"
"SAOLI","1","11","1018","50","797","183","741","285","4","35","88","907","0","1029","19","998","12"
"GONDPIPRI","0","3","1042","77","451","517","226","817","2","1","275","769","0","1045","0","1030","15"
"KORPANA","0","0","1188","14","510","664","35","1152","1","4","484","700","0","1188","0","1187","1"
"RAJURA","0","70","1043","149","718","246","30","1080","3","2","707","404","0","1112","0","1109","0"
