"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MADANPUR","2","469","169","376","232","32","214","403","23","29","280","330","6","634","0","640","0"
"KHULTABAD","0","47","1497","771","603","170","1251","282","11","5","229","1306","0","1542","0","1401","136"
"SILLOD","0","28","1704","1229","407","96","1215","501","16","3","295","1434","35","1696","0","1424","305"
"GANGAPUR","1","7","921","724","123","82","695","215","19","0","201","728","19","910","0","884","45"
"AURANGABAD","0","14","1416","824","503","103","1154","258","18","1","232","1192","0","1429","0","1268","161"
"PAITHAN","1","27","1426","896","393","165","929","491","34","0","249","1204","1","1451","0","1244","209"
"KANAND","0","55","1140","547","568","80","933","241","21","3","113","1079","0","1193","0","1101","92"
"SOEGAON","0","4","989","601","376","16","620","304","68","0","140","852","0","993","0","986","7"
"VAIJAPUR","0","16","1331","1049","241","57","946","378","23","7","285","1055","1","1346","0","1244","103"
"PHULAMBRI","1","17","829","416","331","100","658","180","9","0","161","685","0","846","0","814","33"
