"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SIRONCHA","1","6","1232","18","613","611","15","1097","132","240","587","402","39","1177","21","1165","18"
"GADCHIROLI","1","1","1337","26","1103","215","29","1279","34","126","836","375","0","1325","30","1288","1"
"KURKHEDA","0","28","2164","198","1516","479","72","1858","266","265","1365","557","6","2174","142","2034","2"
"ARMORI","0","15","884","29","477","393","42","773","86","126","408","363","5","890","5","882","3"
"AHERI","1","8","1106","20","470","627","30","998","91","107","502","495","2","1100","29","1057","4"
"MULCHERA","0","7","718","9","477","243","33","663","35","101","431","190","0","713","8","690","2"
"CHAMORSHI","1","4","1380","54","628","709","53","1281","62","273","660","444","1","1368","22","1316","11"
"BHAMARAGAD","0","1","522","10","205","308","18","447","63","42","244","231","0","516","8","499","0"
"KORCHI","0","1","612","66","432","119","3","517","99","22","447","139","0","607","68","536","0"
"DESAIGANJ (WADSA)","0","15","1405","45","1081","296","37","1349","38","57","849","502","1","1409","26","1381","1"
"DHANORA","1","0","650","0","573","83","11","653","2","47","429","166","0","634","2","621","0"
"ETAPALLI","0","0","181","28","100","53","4","140","38","40","74","67","0","178","1","175","0"
