"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PAROLA","0","0","1291","4","1279","8","1217","72","2","1","108","1182","1","1290","0","1290","1"
"JALGAON","26","212","1192","1203","211","16","1404","26","0","38","190","1201","19","1411","1","1374","53"
"PACHORA","1","0","1309","7","1303","3","1227","86","0","5","241","1062","1","1307","0","1296","9"
"CHOPDA","0","0","2300","1","2224","75","2201","97","2","0","82","2218","0","2300","0","2300","0"
"JAMNER","3","0","1027","0","1025","5","953","77","0","74","130","826","0","1030","0","1026","4"
"CHALISGAON","4","0","2214","15","2163","41","1785","430","4","110","415","1691","0","2216","0","2202","14"
"RAVER","50","201","1050","446","830","25","1163","113","25","114","150","1035","36","1264","2","1238","60"
"YAWAL","20","182","1045","399","840","8","1165","45","37","79","162","1005","30","1217","4","1215","28"
"MUKTAINAGAR","13","160","896","694","366","9","1048","16","5","49","178","842","36","1033","1","1007","61"
"BHUSAWAL","11","180","716","267","640","0","850","56","1","19","145","742","106","801","0","904","3"
"BHADGAON","0","0","1411","0","1399","12","1262","149","0","0","285","1126","0","1411","0","1407","4"
"DHARANGAON","0","0","1117","0","1115","2","1084","33","0","0","46","1071","0","1117","0","1117","0"
"ERANDOL","0","1","890","0","891","0","890","1","0","0","80","811","0","891","0","891","0"
"AMALNER","1","0","1378","6","1369","4","1237","141","1","0","169","1210","0","1379","0","1372","7"
"BODWAD","0","40","830","90","776","4","869","0","1","3","28","839","19","851","0","864","6"
