"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"CHAKUR","0","1","1520","3","1174","344","1514","6","1","49","656","816","1","1520","1","1519","1"
"LATUR","0","0","1119","10","732","377","1118","0","1","17","543","559","9","1110","0","1116","3"
"NILANGA","0","5","1289","6","708","580","1289","5","0","13","444","837","0","1294","3","1288","3"
"AUSA","1","8","1562","12","1228","331","1570","1","0","30","582","958","0","1571","0","1570","1"
"RENAPUR","0","2","1120","8","913","201","1121","1","0","28","408","686","2","1119","1","1114","5"
"JALKOT","0","14","1115","15","705","409","1118","10","1","13","510","606","0","1129","0","1126","3"
"AHEMADPUR","0","3","1233","10","678","548","1231","5","0","14","444","778","0","1236","0","1234","2"
"SHIRUR ANANTPAL","1","8","1239","2","893","353","1241","6","1","4","511","733","3","1245","1","1246","1"
"UDGIR","0","10","1413","12","791","620","1414","6","3","32","583","808","10","1413","0","1423","0"
"DEONI","0","0","1135","18","602","515","1133","1","1","1","296","837","0","1135","0","1132","3"
