"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PARSEONI","0","17","905","184","567","171","817","101","4","145","357","420","0","922","3","919","0"
"RAMTEK","0","109","564","70","434","169","575","96","2","97","176","400","1","672","0","670","3"
"KATOL","1","33","1180","106","852","256","1140","74","0","14","216","984","1","1213","0","1185","29"
"BHIVAPUR","0","3","1106","88","737","284","1039","68","2","12","154","943","0","1109","0","1051","58"
"KAMPTEE","0","7","1118","83","717","326","1066","58","2","10","243","873","0","1126","1","1096","29"
"NAGPUR","0","3","295","9","182","107","248","50","0","2","58","236","1","296","0","251","43"
"NARKHED","1","21","895","21","724","172","874","36","7","24","460","433","1","916","0","917","0"
"KUHI","0","0","1431","173","886","373","1240","188","4","2","103","1324","0","1429","0","1282","146"
"UMRED","1","20","1095","83","779","254","990","126","0","6","104","1006","0","1116","0","1116","0"
"KALMESHWAR","0","0","857","60","627","170","733","117","7","44","278","535","0","857","1","842","14"
"HINGNA","2","221","634","43","694","120","809","48","0","60","171","626","7","850","0","832","25"
"SAONER","0","7","708","11","369","335","624","91","0","5","258","452","0","715","0","715","0"
"MOUDA","0","3","401","14","284","106","369","34","1","30","163","211","0","404","0","402","2"
