"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NANDED","0","1","898","101","400","399","893","3","6","4","513","382","2","896","2","894","3"
"MOKHED","0","43","654","491","206","1","677","14","9","53","327","315","1","691","4","677","1"
"HADGAON","1","0","717","52","361","305","711","1","8","3","360","354","2","713","0","708","3"
"KANDHAR","0","12","746","92","387","281","755","2","9","22","381","351","0","747","1","732","4"
"DEGLUR","2","82","597","549","88","46","579","87","19","40","359","278","2","669","4","664","0"
"BHOKAR","2","2","747","73","358","323","748","0","6","4","449","295","1","746","0","742","2"
"ARDHAPUR","0","1","734","76","338","322","727","5","4","3","377","354","1","731","1","727","3"
"LOHA","0","2","663","104","280","281","655","7","6","2","337","324","0","662","0","658","1"
"KINWAT","1","1","1490","103","695","697","1480","0","17","15","725","751","2","1488","2","1484","1"
"DHARMABAD","0","0","148","9","70","71","147","0","3","0","80","67","0","147","1","144","0"
"HIMAYATNAGAR","0","0","686","68","338","280","677","2","8","4","415","268","1","684","0","683","1"
"BILOLI","0","4","308","235","36","48","311","6","8","0","44","253","0","291","2","285","0"
"UMRI","0","0","5","2","2","1","5","0","0","1","1","3","0","5","0","5","0"
"MODKHED","0","0","658","43","282","335","658","0","5","1","432","223","0","654","0","654","0"
"MAHUR","0","1","744","53","336","356","741","0","4","0","438","307","0","744","1","739","2"
"NAIGAON (KH)","0","0","414","54","139","222","410","0","6","1","273","140","0","413","0","413","1"
