"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SURGANA","3","460","1059","19","1134","369","1102","403","17","652","482","386","11","1510","3","1515","0"
"BAGLAN","6","228","801","1","1024","10","404","550","81","278","387","369","8","1027","1","1024","7"
"YEOLA","0","170","979","249","771","129","705","432","12","0","111","1037","57","1092","0","955","194"
"KALWAN","4","809","744","42","1513","2","416","1137","3","8","601","948","3","1552","0","1464","93"
"MALEGAON","4","1124","749","64","1804","9","350","1524","3","19","481","1377","6","1871","2","1696","179"
"TRIMBAK","0","10","1220","29","979","222","383","821","26","8","518","703","11","1218","15","1213","0"
"NASHIK","2","30","783","97","674","44","381","428","6","11","334","470","11","802","1","808","5"
"DEOLA","2","206","492","5","689","6","272","424","4","29","353","318","1","699","0","668","32"
"PETH","0","170","590","27","599","134","396","361","3","166","406","188","6","754","0","760","0"
"NANDGAON","0","298","1316","329","1180","105","1157","454","3","1","657","956","0","1614","0","1566","48"
"SINNAR","0","725","660","20","1364","1","262","1120","3","11","202","1172","1","1384","1","1222","162"
"IGATPURI","0","10","1004","120","828","66","526","476","12","14","429","572","7","1007","2","998","15"
"NIPHAD","0","270","739","349","654","6","530","476","3","280","449","280","11","996","0","990","14"
"DINDORI","0","16","826","8","833","1","474","368","0","10","461","371","7","834","0","839","3"
"CHANDWAD","0","474","729","571","577","55","817","382","4","362","573","268","1","1202","0","1181","20"
