"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PURANDAR","0","145","2094","581","1512","146","734","1504","1","95","995","1149","1","2238","0","2236","3"
"KHED","0","69","680","314","418","17","699","50","0","279","138","332","12","737","8","735","6"
"SHIRUR","0","172","1750","338","1491","92","1406","513","3","8","29","1885","0","1922","0","1920","2"
"BHOR","1","136","977","319","702","93","556","551","7","63","404","647","0","1113","0","1114","0"
"HAVELI","0","135","796","69","815","47","841","88","2","79","110","742","0","931","0","930","1"
"MAVAL","0","109","761","403","462","5","543","325","2","57","320","492","0","869","0","869","1"
"INDAPUR","0","25","1276","56","989","256","831","307","163","38","170","1093","2","1299","1","1293","7"
"AMBEGAON","3","232","1075","512","760","38","1152","158","0","187","248","875","15","1295","12","1287","11"
"DAUND","0","188","891","308","630","141","763","316","0","0","97","982","32","1047","0","1073","6"
"BARAMATI","3","146","1267","286","763","367","938","437","41","134","332","950","5","1411","1","1325","90"
"MULSHI","0","183","607","224","466","100","724","66","0","23","32","735","1","789","2","788","0"
"JUNNAR","0","12","1148","82","1057","21","920","239","1","0","2","1158","0","1160","0","1159","1"
"VELHE","0","59","339","194","202","3","254","145","0","78","150","171","3","396","5","390","4"
