"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"WAI","16","234","843","819","210","64","862","211","20","0","13","1080","0","1093","8","1083","2"
"JAWALI","27","267","862","757","312","87","881","260","15","6","83","1067","0","1156","117","1039","0"
"SATARA","7","182","798","579","325","83","778","188","21","1","14","972","21","966","3","982","2"
"KARAD","93","190","793","812","202","62","740","330","6","5","60","1011","35","1041","1","1070","5"
"PHALTAN","66","1648","422","1019","939","180","1830","242","66","0","1","2130","10","2121","0","2112","16"
"KHATAV","3","203","1313","919","506","95","1249","260","11","14","9","1497","1","1519","1","1507","12"
"MAN","130","346","2520","570","1255","1171","1579","937","479","1203","356","1435","46","2947","3","2373","614"
"KOREGAON","0","171","679","494","288","68","668","164","18","0","0","850","4","846","0","849","1"
"PATAN","43","161","809","967","44","2","455","506","52","119","109","785","0","1013","36","973","0"
"KHANDALA","68","351","920","965","344","30","836","476","27","10","56","1273","13","1325","0","1326","11"
"MAHABALESHWAR","23","342","666","468","405","158","818","213","0","3","15","1013","1","1030","88","943","0"
