"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SOUTH SOLAPUR","2","13","1301","251","308","757","1026","208","82","164","437","712","2","1311","0","1277","36"
"AKKALKOT","2","1","2073","259","1165","652","1678","345","53","239","723","1114","2","2073","3","2033","38"
"SANGOLA","2","1","2120","9","1438","680","1657","442","30","115","336","1663","2","2108","4","2101","0"
"SOLAPUR NORTH","1","63","1201","9","378","878","1035","172","59","248","622","395","2","1264","1","1251","14"
"MOHOL","2","0","1057","6","396","658","760","279","21","63","276","720","1","1056","0","1054","2"
"BARSHI","3","0","1269","9","571","693","864","379","30","4","109","1159","43","1229","1","1258","7"
"MADHA","3","7","1133","173","304","665","924","185","33","51","247","844","0","1141","0","1060","79"
"MANGALVEDHE","1","20","1505","23","663","840","623","834","69","435","578","513","0","1526","1","1523","0"
"KARMALA","0","2","1180","20","378","784","704","452","26","141","366","675","1","1181","2","1180","0"
"PANDHARPUR","1","2","893","1","143","752","718","140","38","2","327","567","0","896","0","896","0"
"MALSHIRAS","0","2","841","1","114","728","705","130","8","43","226","574","1","842","0","839","4"
