"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"ZARI JAMNI","0","11","688","480","217","2","576","119","5","0","19","680","0","699","0","675","23"
"PUSAD","1","4","706","584","124","4","629","80","3","1","101","610","2","705","0","707","1"
"YAVATMAL","0","7","385","151","236","5","150","237","5","65","215","112","0","392","0","391","1"
"NER","0","18","635","306","345","2","193","458","2","100","311","241","1","651","0","652","0"
"RALEGAON","0","0","682","451","231","0","367","304","11","1","250","431","0","682","0","678","4"
"UMARKHED","0","35","595","146","483","1","168","461","1","124","420","86","0","630","0","627","3"
"KALAMB","0","21","601","387","235","0","211","410","1","34","269","319","0","622","0","622","0"
"DIGRAS","0","13","432","280","165","0","140","305","0","12","212","221","0","445","0","443","2"
"WANI","0","15","622","363","274","0","137","497","3","9","270","358","0","637","0","635","2"
"DARWHA","0","19","508","330","197","0","170","356","1","11","242","274","0","527","0","524","3"
"MAHAGAON","0","1","298","232","67","0","165","134","0","1","107","191","1","298","0","297","2"
"ARNI","0","13","281","224","70","0","122","172","0","1","137","156","0","294","0","294","0"
"BABHULGAON","0","2","72","57","17","0","62","12","0","0","24","50","0","74","0","74","0"
"MAREGAON","0","0","579","283","291","5","174","405","0","0","257","322","0","579","0","579","0"
"GHATANJI","0","0","442","281","161","0","216","226","0","0","162","280","0","442","0","442","0"
